"activitySegment__startLocation__latitudeE7","activitySegment__startLocation__longitudeE7","activitySegment__startLocation__sourceInfo__deviceTag","activitySegment__endLocation__latitudeE7","activitySegment__endLocation__longitudeE7","activitySegment__endLocation__sourceInfo__deviceTag","activitySegment__duration__startTimestamp","activitySegment__duration__endTimestamp","activitySegment__distance","activitySegment__activityType","activitySegment__confidence","activitySegment__activities__activityType","activitySegment__activities__probability","activitySegment__transitPath__transitStops__latitudeE7","activitySegment__transitPath__transitStops__longitudeE7","activitySegment__transitPath__transitStops__placeId","activitySegment__transitPath__transitStops__address","activitySegment__transitPath__transitStops__name","activitySegment__transitPath__stopTimesInfo__scheduleArrivalTimestamp","activitySegment__transitPath__name","activitySegment__transitPath__hexRgbColor","activitySegment__transitPath__linePlaceId","activitySegment__transitPath__stopTimesInfo__scheduledDepartureTimestamp","activitySegment__transitPath__stopTimesInfo__realtimeArrivalTimestamp","activitySegment__transitPath__stopTimesInfo__realtimeDepartureTimestamp","activitySegment__transitPath__source","activitySegment__transitPath__confidence","activitySegment__transitPath__distanceMeters","activitySegment__simplifiedRawPath__points__latE7","activitySegment__simplifiedRawPath__points__lngE7","activitySegment__simplifiedRawPath__points__accuracyMeters","activitySegment__simplifiedRawPath__points__timestamp","activitySegment__parkingEvent__location__latitudeE7","activitySegment__parkingEvent__location__longitudeE7","activitySegment__parkingEvent__location__accuracyMetres","activitySegment__parkingEvent__location__sourceInfo__deviceTag","activitySegment__parkingEvent__method","activitySegment__parkingEvent__locationSource","activitySegment__parkingEvent__timestamp","activitySegment__simplifiedRawPath__source","activitySegment__simplifiedRawPath__distanceMeters","activitySegment__waypointPath__waypoints__latE7","activitySegment__waypointPath__waypoints__lngE7","activitySegment__waypointPath__source","activitySegment__waypointPath__roadSegment__placeId","activitySegment__waypointPath__roadSegment__duration","activitySegment__waypointPath__distanceMeters","activitySegment__waypointPath__travelMode","activitySegment__waypointPath__confidence","placeVisit__location__latitudeE7","placeVisit__location__longitudeE7","placeVisit__location__placeId","placeVisit__location__address","placeVisit__location__semanticType","placeVisit__location__name","placeVisit__location__sourceInfo__deviceTag","placeVisit__location__locationConfidence","placeVisit__location__calibratedProbability","placeVisit__duration__startTimestamp","placeVisit__duration__endTimestamp","placeVisit__placeConfidence","placeVisit__childVisits__location__latitudeE7","placeVisit__childVisits__location__longitudeE7","placeVisit__childVisits__location__placeId","placeVisit__childVisits__location__address","placeVisit__childVisits__location__name","placeVisit__childVisits__location__sourceInfo__deviceTag","placeVisit__childVisits__location__locationConfidence","placeVisit__childVisits__location__calibratedProbability","placeVisit__childVisits__location__isCurrentLocation","placeVisit__childVisits__duration__startTimestamp","placeVisit__childVisits__duration__endTimestamp","placeVisit__childVisits__placeConfidence","placeVisit__childVisits__centerLatE7","placeVisit__childVisits__centerLngE7","placeVisit__childVisits__visitConfidence","placeVisit__childVisits__otherCandidateLocations__latitudeE7","placeVisit__childVisits__otherCandidateLocations__longitudeE7","placeVisit__childVisits__otherCandidateLocations__placeId","placeVisit__childVisits__otherCandidateLocations__address","placeVisit__childVisits__otherCandidateLocations__name","placeVisit__childVisits__otherCandidateLocations__locationConfidence","placeVisit__childVisits__otherCandidateLocations__calibratedProbability","placeVisit__childVisits__otherCandidateLocations__isCurrentLocation","placeVisit__childVisits__editConfirmationStatus","placeVisit__childVisits__locationConfidence","placeVisit__childVisits__placeVisitType","placeVisit__childVisits__placeVisitLevel","placeVisit__centerLatE7","placeVisit__centerLngE7","placeVisit__visitConfidence","placeVisit__otherCandidateLocations__latitudeE7","placeVisit__otherCandidateLocations__longitudeE7","placeVisit__otherCandidateLocations__placeId","placeVisit__otherCandidateLocations__address","placeVisit__otherCandidateLocations__semanticType","placeVisit__otherCandidateLocations__name","placeVisit__otherCandidateLocations__locationConfidence","placeVisit__otherCandidateLocations__calibratedProbability","placeVisit__editConfirmationStatus","placeVisit__simplifiedRawPath__points__latE7","placeVisit__simplifiedRawPath__points__lngE7","placeVisit__simplifiedRawPath__points__accuracyMeters","placeVisit__simplifiedRawPath__points__timestamp","placeVisit__simplifiedRawPath__source","placeVisit__simplifiedRawPath__distanceMeters","placeVisit__locationConfidence","placeVisit__placeVisitType","placeVisit__placeVisitImportance"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378135391","1449632758","ChIJlVWPC7VC1moRwANVqtx_3eQ","350 Bourke St, Melbourne VIC 3000, Australia","","Melbourne's GPO","449113335","45.12912","30.146822","2022-07-02T09:43:54.592Z","2022-07-02T09:54:17.424Z","LOW_CONFIDENCE","-378139555","1449633605","ChIJPd0IcrVC1moRAQVJQt0Tk-k","350 Bourke St, Melbourne VIC 3000, Australia","H&M","449113335","2.2459917","9.956897","","2022-07-02T09:43:54.592Z","2022-07-02T09:54:17.424Z","LOW_CONFIDENCE","-378135475","1449628612","80","-378137332","1449628721","ChIJ1dlJarVC1moRD9dMM4th-Us","Melbourne VIC 3000, Australia","Bourke Street Mall/Elizabeth St #3","1.9562402","8.672376","True","NOT_CONFIRMED","1","SINGLE_PLACE","1","-378135475","1449628612","80","-378129786","1449621841","ChIJDfGFRLVC1moR1jJPU8GV-4E","239 Elizabeth St, Melbourne VIC 3000, Australia","","JB Hi-Fi City - Elizabeth St","7.95137","5.3116155","NOT_CONFIRMED","","","","","","","37","SINGLE_PLACE","MAIN"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378144682","1449634877","ChIJD-kYKLVC1moRdCgmcuTmxo0","345 Bourke St, Melbourne VIC 3000, Australia","Chemist Warehouse Melbourne","1.7857096","7.916382","","","","","","","","","-378140310","1449636851","ChIJ-STYDbVC1moR8Hz6LPEldTw","Melbourne VIC 3000, Australia","","Elizabeth St/Bourke St","6.4182057","4.2874427","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378129786","1449621841","ChIJDfGFRLVC1moR1jJPU8GV-4E","239 Elizabeth St, Melbourne VIC 3000, Australia","JB Hi-Fi City - Elizabeth St","1.697051","7.5233417","","","","","","","","","-378127823","1449627044","ChIJH_0fYbVC1moR4QvBomAPj6U","250 Elizabeth St, Melbourne VIC 3000, Australia","","The Strand Melbourne","4.6937213","3.1354651","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378138630","1449629705","ChIJrXsmErVC1moR8DvHoWR_Nfg","Melbourne VIC 3000, Australia","Bourke Street Mall","1.6173488","7.1700068","True","","","","","","","","-378134206","1449626162","ChIJz747QLVC1moRZa4V3nWhQ4s","213 Elizabeth St, Melbourne VIC 3000, Australia","","Tropicana Juice Food Bar Headquarter","3.0433083","2.0329683","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378134283","1449644169","ChIJPfCchrVC1moRpqxgA-A9c_I","310 Bourke St, Melbourne VIC 3000, Australia","David Jones - Bourke Street Mall","1.0653684","4.7229757","","","","","","","","","-378145388","1449640625","ChIJeaaLoLVC1moRb4lG29-HxpI","335 Bourke St, Melbourne VIC 3000, Australia","","Royal Arcade","3.0049882","2.00737","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378140310","1449636851","ChIJ-STYDbVC1moR8Hz6LPEldTw","Melbourne VIC 3000, Australia","Elizabeth St/Bourke St","1.0038402","4.4502096","","","","","","","","","-378137332","1449628721","ChIJ1dlJarVC1moRD9dMM4th-Us","Melbourne VIC 3000, Australia","","Bourke Street Mall/Elizabeth St #3","2.8643894","1.9134483","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378134206","1449626162","ChIJz747QLVC1moRZa4V3nWhQ4s","213 Elizabeth St, Melbourne VIC 3000, Australia","Tropicana Juice Food Bar Headquarter","0.6719499","2.9788785","","","","","","","","","-378138630","1449629705","ChIJrXsmErVC1moR8DvHoWR_Nfg","Melbourne VIC 3000, Australia","","Bourke Street Mall","2.5559392","1.7073997","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378134283","1449644169","ChIJPfCchrVC1moRpqxgA-A9c_I","310 Bourke St, Melbourne VIC 3000, Australia","","David Jones - Bourke Street Mall","2.441189","1.6307452","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378132158","1449623952","ChIJMXCoQbVC1moRtE1TdTyeYcs","342 Little Bourke St, Melbourne VIC 3000, Australia","","Shanghai Street","1.8230019","1.2177882","","","","","","","","","",""
"-378131916","1449627323","449113335","-378170556","1449536716","449113335","2022-07-02T09:54:17.424Z","2022-07-02T10:04:02.706Z","914","WALKING","MEDIUM","WALKING","71.43359780311584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-378131866","1449627532","INFERRED","","","1019.7936968509517","WALK","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
